id	population	species	state	country	sex	longitude	latitude	read_1	read_2
W6-54695-120	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-120_8ed7b5b8-9177-4112-bec6-70a22a7a37a4_S33_L007_R1_001.fastq.gz	20240401/L7/W6-54695-120_8ed7b5b8-9177-4112-bec6-70a22a7a37a4_S33_L007_R2_001.fastq.gz
W6-54695-121	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-121_3c0de9de-db7f-434d-89f0-431f3a54c3dd_S31_L007_R1_001.fastq.gz	20240401/L7/W6-54695-121_3c0de9de-db7f-434d-89f0-431f3a54c3dd_S31_L007_R2_001.fastq.gz
W6-54695-122	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-122_6a736dfa-9860-460a-b8f4-3aac2c769028_S40_L007_R1_001.fastq.gz	20240401/L7/W6-54695-122_6a736dfa-9860-460a-b8f4-3aac2c769028_S40_L007_R2_001.fastq.gz
W6-54695-123	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-123_18369015-81d8-4a53-8be8-bda02dc63201_S12_L007_R1_001.fastq.gz	20240401/L7/W6-54695-123_18369015-81d8-4a53-8be8-bda02dc63201_S12_L007_R2_001.fastq.gz
W6-54695-124	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-124_6bb60a32-086f-4bb1-97df-8b35bbccb1ce_S5_L007_R1_001.fastq.gz	20240401/L7/W6-54695-124_6bb60a32-086f-4bb1-97df-8b35bbccb1ce_S5_L007_R2_001.fastq.gz
W6-54695-125	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-125_3df7bb85-803a-4ea9-94bf-f027e030ec50_S14_L007_R1_001.fastq.gz	20240401/L7/W6-54695-125_3df7bb85-803a-4ea9-94bf-f027e030ec50_S14_L007_R2_001.fastq.gz
W6-54695-126	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-126_51426848-de83-425c-987b-7d774adb44cd_S19_L007_R1_001.fastq.gz	20240401/L7/W6-54695-126_51426848-de83-425c-987b-7d774adb44cd_S19_L007_R2_001.fastq.gz
W6-54695-127	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-127_92d66a8d-4a6c-4b1a-933e-820a13cf372c_S39_L007_R1_001.fastq.gz	20240401/L7/W6-54695-127_92d66a8d-4a6c-4b1a-933e-820a13cf372c_S39_L007_R2_001.fastq.gz
W6-54695-128	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-128_9b1799fc-4219-4ac6-bb4e-7a3cc48a4832_S20_L007_R1_001.fastq.gz	20240401/L7/W6-54695-128_9b1799fc-4219-4ac6-bb4e-7a3cc48a4832_S20_L007_R2_001.fastq.gz
W6-54695-129	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-129_2e15386b-43ef-4d1e-ae21-5690c6a825b9_S7_L007_R1_001.fastq.gz	20240401/L7/W6-54695-129_2e15386b-43ef-4d1e-ae21-5690c6a825b9_S7_L007_R2_001.fastq.gz
W6-54695-130	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-130_e1ea2833-5440-41b4-8613-092f214a1309_S26_L007_R1_001.fastq.gz	20240401/L7/W6-54695-130_e1ea2833-5440-41b4-8613-092f214a1309_S26_L007_R2_001.fastq.gz
W6-54695-131	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-131_eb4e9541-0d3f-4fbf-bb10-8c81e3b29e15_S10_L007_R1_001.fastq.gz	20240401/L7/W6-54695-131_eb4e9541-0d3f-4fbf-bb10-8c81e3b29e15_S10_L007_R2_001.fastq.gz
