id	population	species	state	country	sex	longitude	latitude
arenas-22-034	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-035	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-036	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-037	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
arenas-22-038	arenas	Distichlis_palmeri	SON	MX	male	-112.19067	29.15543
barco-22-001	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-002	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-003	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-004	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-005	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-006	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-007	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-008	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-009	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-010	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-011	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-012	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-013	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-014	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-015	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-016	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-017	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-018	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-019	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-020	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-021	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-022	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-023	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-024	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-025	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-026	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-027	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-028	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-029	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-030	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-031	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-032	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-033	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-034	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-035	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-036	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-037	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
