id	population	species	state	country	sex	longitude	latitude	read_1	read_2
angeles-22-022	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-022/angeles-22-022_e7cbd50e-63c0-4c30-b9dc-a9c2cea40895_R1.fastq.gz	angeles-22-022/angeles-22-022_e7cbd50e-63c0-4c30-b9dc-a9c2cea40895_R2.fastq.gz
angeles-22-023	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-023/angeles-22-023_21c8e4a5-6d85-41c5-9bf1-063fa7b1d7f1_R1.fastq.gz	angeles-22-023/angeles-22-023_21c8e4a5-6d85-41c5-9bf1-063fa7b1d7f1_R2.fastq.gz
angeles-22-024	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-024/angeles-22-024_f88c31cf-a9aa-4714-b949-76f5ca477724_R1.fastq.gz	angeles-22-024/angeles-22-024_f88c31cf-a9aa-4714-b949-76f5ca477724_R2.fastq.gz
angeles-22-025	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-025/angeles-22-025_e91adb1d-e28a-411a-be0c-c4dfb05cb558_R1.fastq.gz	angeles-22-025/angeles-22-025_e91adb1d-e28a-411a-be0c-c4dfb05cb558_R2.fastq.gz
angeles-22-026	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-026/angeles-22-026_a91da296-dd5a-4b61-9f8d-c12f5380dc06_R1.fastq.gz	angeles-22-026/angeles-22-026_a91da296-dd5a-4b61-9f8d-c12f5380dc06_R2.fastq.gz
angeles-22-027	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-027/angeles-22-027_9ad5f4b5-19f1-4ffe-b2b4-187f36742239_R1.fastq.gz	angeles-22-027/angeles-22-027_9ad5f4b5-19f1-4ffe-b2b4-187f36742239_R2.fastq.gz
angeles-22-028	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-028/angeles-22-028_ec6bd41f-98ec-43dc-a8b2-cd0a82a0417a_R1.fastq.gz	angeles-22-028/angeles-22-028_ec6bd41f-98ec-43dc-a8b2-cd0a82a0417a_R2.fastq.gz
angeles-22-029	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-029/angeles-22-029_81d4a206-9c25-4450-a4bd-6816821aa314_R1.fastq.gz	angeles-22-029/angeles-22-029_81d4a206-9c25-4450-a4bd-6816821aa314_R2.fastq.gz
angeles-22-030	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-030/angeles-22-030_9aa3dc72-125e-42c6-b766-f3a27d8cf6b3_R1.fastq.gz	angeles-22-030/angeles-22-030_9aa3dc72-125e-42c6-b766-f3a27d8cf6b3_R2.fastq.gz
angeles-22-031	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-031/angeles-22-031_5d8b6da1-8d01-4701-a86d-7a30ecf307da_R1.fastq.gz	angeles-22-031/angeles-22-031_5d8b6da1-8d01-4701-a86d-7a30ecf307da_R2.fastq.gz
